,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Precious Achiuwa,C,22,TOR,27,17,24.4,3.3,8.2,.403,0.3,1.2,.281,3.0,7.0,.423,.423,1.1,1.9,.569,2.3,5.2,7.5,1.5,0.6,0.6,1.1,2.2,8.0
1,Steven Adams,C,28,MEM,40,40,25.7,2.6,5.0,.530,0.0,0.0,,2.6,5.0,.530,.530,1.7,2.9,.600,4.3,5.1,9.4,3.0,0.8,0.6,1.6,1.7,7.0
2,Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
3,Santi Aldama,PF,21,MEM,20,0,10.9,1.5,4.0,.367,0.2,1.7,.121,1.3,2.3,.543,.392,0.5,0.9,.588,1.1,1.9,2.9,0.7,0.1,0.3,0.4,1.1,3.6
4,LaMarcus Aldridge,C,36,BRK,29,10,22.9,5.7,10.1,.565,0.4,1.2,.343,5.3,8.9,.595,.586,1.5,1.8,.846,1.5,4.1,5.6,0.8,0.4,1.1,0.9,1.7,13.3
5,Nickeil Alexander-Walker,SG,23,NOP,36,18,27.4,5.0,13.7,.367,2.1,6.8,.311,2.9,6.9,.422,.444,1.2,1.7,.717,0.9,2.7,3.6,2.6,0.9,0.3,1.6,1.8,13.4
6,Grayson Allen,SG,26,MIL,36,35,28.4,4.1,9.9,.414,2.7,7.0,.389,1.4,2.9,.476,.552,1.0,1.1,.854,0.4,2.9,3.4,1.3,0.8,0.4,0.6,1.4,11.9
7,Jarrett Allen,C,23,CLE,32,32,32.8,6.9,9.8,.705,0.0,0.2,.143,6.9,9.6,.718,.706,3.1,4.4,.707,3.3,7.5,10.8,1.9,0.9,1.4,1.9,1.9,17.0
8,Jose Alvarado,PG,23,NOP,12,0,6.3,0.4,1.9,.217,0.2,0.9,.182,0.3,1.0,.250,.261,0.6,0.9,.636,0.2,0.4,0.6,0.9,0.5,0.0,0.2,0.7,1.6
9,Justin Anderson,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Kyle Anderson,PF,28,MEM,33,5,22.4,3.2,7.3,.432,0.7,2.1,.353,2.4,5.2,.462,.481,1.1,1.6,.660,0.8,4.4,5.3,2.5,1.0,0.5,1.0,1.5,8.1
11,Giannis Antetokounmpo,PF,27,MIL,32,32,32.3,9.9,18.4,.540,1.1,3.8,.276,8.9,14.6,.609,.569,7.1,10.3,.690,1.9,9.5,11.4,6.0,1.1,1.4,3.3,3.2,28.0
12,Thanasis Antetokounmpo,SF,29,MIL,26,5,12.5,1.4,3.1,.457,0.0,0.4,.091,1.4,2.7,.514,.463,0.6,0.9,.625,1.1,1.8,2.9,0.7,0.5,0.2,0.7,2.0,3.5
13,Carmelo Anthony,PF,37,LAL,40,3,27.1,4.6,10.6,.430,2.4,6.1,.395,2.2,4.5,.478,.544,1.9,2.3,.804,0.9,3.4,4.2,1.0,0.8,0.8,0.8,2.3,13.4
14,Cole Anthony,PG,21,ORL,25,25,33.9,7.0,16.6,.418,2.7,7.6,.354,4.3,9.1,.471,.499,3.6,4.2,.865,0.5,5.5,6.0,5.9,0.8,0.2,2.8,2.5,20.2
15,OG Anunoby,SF,24,TOR,21,21,35.9,7.0,16.0,.439,2.6,7.1,.369,4.4,9.0,.495,.521,2.7,3.2,.836,1.4,3.9,5.2,2.4,1.7,0.4,1.5,2.7,19.4
16,Trevor Ariza,SF,36,LAL,6,1,16.8,1.2,2.2,.538,1.0,2.0,.500,0.2,0.2,1.000,.769,0.2,0.3,.500,0.2,2.7,2.8,0.8,0.2,0.2,0.2,0.5,3.5
17,D.J. Augustin,PG,34,HOU,30,2,15.0,1.6,4.0,.412,1.1,2.8,.405,0.5,1.2,.429,.555,1.0,1.1,.882,0.2,0.9,1.1,2.3,0.3,0.0,1.3,0.5,5.4
18,Deni Avdija,SF,21,WAS,39,5,23.4,2.7,6.3,.426,0.9,2.9,.298,1.8,3.3,.538,.496,1.1,1.6,.721,0.7,4.3,5.0,1.6,0.8,0.7,0.9,2.3,7.3
19,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
